  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    2570,     5671,    54272,       76,    89158,     6194,        0
    2590,     5724,    54272,       77,    89154,     6253,        0
    2610,     5777,    54272,       78,    89150,     6311,        0
    2630,     5830,    54272,       79,    89146,     6369,        0
    2650,     5883,    54272,       80,    89142,     6428,        0
    2670,     5936,    54272,       81,    89138,     6486,        0
    2690,     5989,    54272,       82,    89133,     6544,        0
    2710,     6042,    54272,       83,    89129,     6602,        0
    2730,     6095,    54272,       84,    89125,     6660,        0
    2750,     6148,    54272,       85,    89120,     6719,        0
    2770,     6201,    54272,       86,    89116,     6777,        0
    2790,     6254,    54272,       87,    89111,     6835,        0
    2810,     6307,    54272,       88,    89107,     6893,        0
    2830,     6360,    54272,       89,    89103,     6951,        0
    2850,     6413,    54272,       90,    89098,     7010,        0
    2870,     6466,    54272,       91,    89093,     7068,        0
    2890,     6519,    54272,       92,    89089,     7126,        0
    2910,     6572,    54272,       93,    89084,     7185,        0
    2930,     6625,    54272,       94,    89079,     7243,        0
    2950,     6678,    54272,       95,    89074,     7301,        0
    2970,     6731,    54272,       96,    89069,     7359,        0
    2990,     6784,    54272,       97,    89065,     7418,        0
    3010,     6837,    54272,       98,    89060,     7476,        0
    3030,     6890,    54272,       99,    89055,     7534,        0
    3050,     6943,    54272,      100,    89050,     7592,        0
    3070,     6996,    54272,      101,    89045,     7650,        0
    3090,     7049,    54272,      102,    89040,     7709,        0
    3110,     7102,    54272,      103,    89035,     7767,        0
    3130,     7155,    54272,      104,    89030,     7825,        0
    3150,     7208,    54272,      105,    89025,     7883,        0
    3170,     7261,    54272,      106,    89020,     7941,        0
    3190,     7314,    54272,      107,    89014,     7999,        0
    3210,     7367,    54272,      108,    89009,     8057,        0
    3230,     7420,    54272,      109,    89004,     8116,        0
    3250,     7473,    54272,      110,    88999,     8174,        0
    3270,     7526,    54272,      111,    88993,     8232,        0
    3290,     7579,    54272,      112,    88988,     8290,        0
    3310,     7632,    54272,      113,    88982,     8349,        0
    3330,     7685,    54272,      114,    88977,     8407,        0
    3350,     7738,    54272,      115,    88971,     8465,        0
    3370,     7791,    54272,      116,    88966,     8523,        0
    3390,     7844,    54272,      117,    88960,     8581,        0
    3410,     7897,    54272,      118,    88955,     8639,        0
    3430,     7950,    54272,      119,    88949,     8697,        0
    3450,     8003,    54272,      120,    88943,     8756,        0
    3470,     8056,    54272,      121,    88937,     8814,        0
    3490,     8109,    54272,      122,    88932,     8872,        0
    3510,     8162,    54272,      123,    88926,     8930,        0
    3530,     8215,    54272,      124,    88920,     8988,        0
    3550,     8268,    54272,      125,    88914,     9046,        0
    3570,     8321,    54272,      126,    88908,     9104,        0
    3590,     8374,    54272,      127,    88902,     9162,        0
    3610,     8427,    54272,      128,    88896,     9221,        0
    3630,     8480,    54272,      129,    88890,     9279,        0
    3650,     8533,    54272,      130,    88884,     9337,        0
    3670,     8586,    54272,      131,    88878,     9395,        0
    3690,     8639,    54272,      132,    88872,     9453,        0
    3710,     8692,    54272,      133,    88866,     9511,        0
    3730,     8745,    54272,      134,    88859,     9569,        0
    3750,     8798,    54272,      135,    88853,     9627,        0
    3770,     8851,    54272,      136,    88847,     9685,        0
    3790,     8904,    54272,      137,    88841,     9743,        0
    3810,     8957,    54272,      138,    88835,     9801,        0
    3830,     9010,    54272,      139,    88828,     9860,        0
    3850,     9063,    54272,      140,    88821,     9917,        0
    3870,     9116,    54272,      141,    88815,     9975,        0
    3890,     9169,    54272,      142,    88808,    10033,        0
    3910,     9222,    54272,      143,    88802,    10092,        0
    3930,     9275,    54272,      144,    88795,    10150,        0
    3950,     9328,    54272,      145,    88788,    10207,        0
    3970,     9381,    54272,      146,    88782,    10266,        0
    3990,     9434,    54272,      147,    88775,    10324,        0
    4010,     9487,    54272,      148,    88768,    10382,        0
    4030,     9540,    54272,      149,    88761,    10440,        0
    4050,     9593,    54272,      150,    88755,    10497,        0
    4070,     9646,    54272,      151,    88748,    10556,        0
    4090,     9699,    54272,      152,    88741,    10614,        0
    4110,     9752,    54272,      153,    88734,    10672,        0
    4130,     9805,    54272,      154,    88727,    10729,        0
    4150,     9858,    54272,      155,    88720,    10788,        0
    4170,     9911,    54272,      156,    88713,    10846,        0
    4190,     9964,    54272,      157,    88706,    10904,        0
    4210,    10017,    54272,      158,    88699,    10961,        0
    4230,    10070,    54272,      159,    88691,    11020,        0
    4250,    10123,    54272,      160,    88684,    11077,        0
    4270,    10176,    54272,      161,    88677,    11135,        0
    4290,    10229,    54272,      162,    88670,    11193,        0
    4310,    10282,    54272,      163,    88662,    11252,        0
    4330,    10335,    54272,      164,    88655,    11310,        0
    4350,    10388,    54272,      165,    88648,    11367,        0
    4370,    10441,    54272,      166,    88640,    11425,        0
    4390,    10494,    54272,      167,    88633,    11483,        0
    4410,    10547,    54272,      168,    88625,    11541,        0
    4430,    10600,    54272,      169,    88617,    11599,        0
    4450,    10653,    54272,      170,    88610,    11656,        0
    4470,    10706,    54272,      171,    88602,    11715,        0
    4490,    10759,    54272,      172,    88595,    11773,        0
    4510,    10812,    54272,      173,    88587,    11831,        0
    4530,    10865,    54272,      174,    88579,    11888,        0
    4550,    10918,    54272,      175,    88572,    11947,        0
    4570,    10971,    54272,      176,    88564,    12004,        0
    4590,    11024,    54272,      177,    88556,    12062,        0
    4610,    11077,    54272,      178,    88548,    12120,        0
    4630,    11130,    54272,      179,    88540,    12178,        0
    4650,    11183,    54272,      180,    88532,    12236,        0
    4670,    11236,    54272,      181,    88524,    12293,        0
    4690,    11289,    54272,      182,    88516,    12352,        0
    4710,    11342,    54272,      183,    88508,    12410,        0
    4730,    11395,    54272,      184,    88500,    12467,        0
    4750,    11448,    54272,      185,    88492,    12525,        0
    4770,    11501,    54272,      186,    88484,    12582,        0
    4790,    11554,    54272,      187,    88475,    12641,        0
    4810,    11607,    54272,      188,    88467,    12699,        0
    4830,    11660,    54272,      189,    88458,    12756,        0
    4850,    11713,    54272,      190,    88450,    12814,        0
    4870,    11766,    54272,      191,    88442,    12872,        0
    4890,    11819,    54272,      192,    88433,    12930,        0
    4910,    11872,    54272,      193,    88425,    12988,        0
    4930,    11925,    54272,      194,    88416,    13046,        0
    4950,    11978,    54272,      195,    88408,    13103,        0
    4970,    12031,    54272,      196,    88399,    13161,        0
    4990,    12084,    54272,      197,    88391,    13218,        0
    5010,    12137,    54272,      198,    88382,    13277,        0
    5030,    12190,    54272,      199,    88373,    13334,        0
    5050,    12243,    54272,      200,    88365,    13392,        0
    5070,    12296,    54272,      201,    88356,    13450,        0
    5090,    12349,    54272,      202,    88347,    13508,        0
    5110,    12402,    54272,      203,    88338,    13565,        0
    5130,    12455,    54272,      204,    88329,    13623,        0
    5150,    12508,    54272,      205,    88320,    13681,        0
    5170,    12561,    54272,      206,    88311,    13739,        0
    5190,    12614,    54272,      207,    88302,    13796,        0
    5210,    12667,    54272,      208,    88293,    13854,        0
    5230,    12720,    54272,      209,    88284,    13911,        0
    5250,    12773,    54272,      210,    88275,    13969,        0
    5270,    12826,    54272,      211,    88266,    14027,        0
    5290,    12879,    54272,      212,    88257,    14085,        0
    5310,    12932,    54272,      213,    88247,    14143,        0
    5330,    12985,    54272,      214,    88238,    14200,        0
    5350,    13038,    54272,      215,    88229,    14258,        0
    5370,    13091,    54272,      216,    88220,    14315,        0
    5390,    13144,    54272,      217,    88210,    14373,        0
    5410,    13197,    54272,      218,    88201,    14431,        0
    5430,    13250,    54272,      219,    88192,    14488,        0
    5450,    13303,    54272,      220,    88182,    14546,        0
    5470,    13356,    54272,      221,    88172,    14604,        0
    5490,    13409,    54272,      222,    88163,    14661,        0
    5510,    13462,    54272,      223,    88153,    14719,        0
    5530,    13515,    54272,      224,    88144,    14776,        0
    5550,    13568,    54272,      225,    88134,    14834,        0
    5570,    13621,    54272,      226,    88124,    14892,        0
    5590,    13674,    54272,      227,    88115,    14949,        0
    5610,    13727,    54272,      228,    88105,    15007,        0
    5630,    13780,    54272,      229,    88095,    15065,        0
    5650,    13833,    54272,      230,    88086,    15122,        0
    5670,    13886,    54272,      231,    88075,    15180,        0
    5690,    13939,    54272,      232,    88065,    15237,        0
    5710,    13992,    54272,      233,    88056,    15295,        0
    5730,    14045,    54272,      234,    88045,    15352,        0
    5750,    14098,    54272,      235,    88036,    15409,        0
    5770,    14151,    54272,      236,    88025,    15467,        0
    5790,    14204,    54272,      237,    88015,    15525,        0
    5810,    14257,    54272,      238,    88005,    15582,        0
