  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    2590,        0,    19210,     4063,    32334,        0,     4348
    2610,        0,    19203,     4100,    32336,        0,     4388
    2630,        0,    19195,     4137,    32335,        0,     4428
    2650,        0,    19187,     4174,    32335,        0,     4469
    2670,        0,    19179,     4211,    32336,        0,     4509
    2690,        0,    19171,     4248,    32336,        0,     4549
    2710,        0,    19163,     4285,    32336,        0,     4589
    2730,        0,    19155,     4322,    32337,        0,     4629
    2750,        0,    19147,     4359,    32337,        0,     4670
    2770,        0,    19139,     4396,    32338,        0,     4710
    2790,        0,    19131,     4433,    32339,        0,     4750
    2810,        0,    19123,     4470,    32340,        0,     4790
    2830,        0,    19115,     4507,    32341,        0,     4830
    2850,        0,    19107,     4544,    32342,        0,     4871
    2870,        0,    19099,     4581,    32344,        0,     4911
    2890,        0,    19091,     4618,    32345,        0,     4951
    2910,        0,    19082,     4655,    32345,        0,     4991
    2930,        0,    19073,     4692,    32345,        0,     5032
    2950,        0,    19064,     4729,    32345,        0,     5072
    2970,        0,    19055,     4766,    32346,        0,     5113
    2990,        0,    19046,     4803,    32346,        0,     5153
    3010,        0,    19037,     4840,    32347,        0,     5194
    3030,        0,    19028,     4877,    32348,        0,     5234
    3050,        0,    19019,     4914,    32348,        0,     5275
    3070,        0,    19010,     4951,    32349,        0,     5315
    3090,        0,    19001,     4988,    32350,        0,     5355
    3110,        0,    18992,     5025,    32351,        0,     5396
    3130,        0,    18983,     5062,    32353,        0,     5436
    3150,        0,    18974,     5099,    32354,        0,     5477
    3170,        0,    18965,     5136,    32356,        0,     5517
    3190,        0,    18955,     5173,    32356,        0,     5558
    3210,        0,    18945,     5210,    32356,        0,     5598
    3230,        0,    18935,     5247,    32356,        0,     5639
    3250,        0,    18925,     5283,    32357,        0,     5679
    3270,        0,    18915,     5319,    32357,        0,     5719
    3290,        0,    18905,     5355,    32357,        0,     5758
    3310,        0,    18895,     5391,    32357,        0,     5798
    3330,        0,    18885,     5427,    32358,        0,     5837
    3350,        0,    18875,     5463,    32358,        0,     5877
    3370,        0,    18865,     5499,    32359,        0,     5917
    3390,        0,    18855,     5535,    32360,        0,     5957
    3410,        0,    18845,     5571,    32361,        0,     5996
    3430,        0,    18835,     5607,    32362,        0,     6036
    3450,        0,    18825,     5643,    32363,        0,     6075
    3470,        0,    18814,     5679,    32363,        0,     6115
    3490,        0,    18803,     5715,    32363,        0,     6155
    3510,        0,    18792,     5751,    32363,        0,     6195
    3530,        0,    18781,     5787,    32363,        0,     6235
    3550,        0,    18770,     5823,    32363,        0,     6275
    3570,        0,    18759,     5859,    32363,        0,     6315
    3590,        0,    18748,     5895,    32364,        0,     6355
    3610,        0,    18737,     5931,    32364,        0,     6395
    3630,        0,    18726,     5967,    32365,        0,     6435
    3650,        0,    18715,     6003,    32366,        0,     6475
    3670,        0,    18704,     6039,    32367,        0,     6515
    3690,        0,    18693,     6075,    32368,        0,     6555
    3710,        0,    18682,     6111,    32369,        0,     6595
    3730,        0,    18671,     6147,    32370,        0,     6635
    3750,        0,    18659,     6183,    32370,        0,     6675
    3770,        0,    18647,     6219,    32370,        0,     6715
