  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout,mag_in,mag_out,Ratio,Error
1430,0,77897,7601,128887,0,8117,78266.9649980118,128887,1.64676118466168,-0.00000118466168
1450,0,77881,7753,128885,0,8280,78265.9515370509,128885,1.64675695457413,0.00000304542587
1470,0,77864,7905,128883,0,8443,78264.2416496832,128883,1.64676737783891,-0.00000737783891
1490,0,77847,8057,128880,0,8606,78262.8306285941,128880,1.64675873546685,0.00000126453315
1510,0,77830,8209,128878,0,8769,78261.7184899488,128878,1.64675658146392,0.00000341853608
1530,0,77812,8361,128875,0,8932,78259.9109697935,128875,1.64675628176657,0.00000371823343
1550,0,77794,8512,128873,0,9094,78258.2940013389,128873,1.64676475055532,-0.00000475055532
1570,0,77776,8663,128871,0,9256,78256.9725008577,128871,1.64676700211713,-0.00000700211713
1590,0,77758,8814,128869,-1,9418,78255.9464833184,128869.00000388,1.64676303584611,-0.00000303584611
1610,0,77739,8965,128866,0,9580,78254.222544218,128866,1.64676097736686,-0.00000097736686
1630,0,77720,9116,128864,0,9742,78252.7945571275,128864,1.64676546990184,-0.00000546990184
1650,0,77701,9267,128862,0,9905,78251.662538249,128862,1.64676373408697,-0.00000373408697
1670,0,77681,9418,128859,-1,10068,78249.8337697915,128859.00000388,1.64676388173525,-0.00000388173525
1690,0,77661,9569,128856,0,10230,78248.3014639935,128856,1.64675779012652,0.00000220987348
1710,0,77641,9720,128854,0,10392,78247.0656382717,128854,1.64675823877766,0.00000176122234
1730,0,77621,9871,128853,0,10555,78246.1263066741,128853,1.6467652276482,-0.0000052276482
1750,0,77600,10022,128850,0,10717,78244.4917166697,128850,1.64676128853361,-0.00000128853361
1770,0,77579,10173,128848,0,10880,78243.1541414327,128848,1.64676387875537,-0.00000387875537
1790,0,77558,10324,128846,0,11042,78242.1135961957,128846,1.64676021745743,-0.00000021745743
1810,0,77536,10475,128843,0,11205,78240.3790954517,128843,1.64675838089708,0.00000161910292
1830,0,77514,10626,128841,0,11368,78238.942170763,128841,1.64676306229695,-0.00000306229695
1850,0,77492,10777,128839,0,11531,78237.8028385256,128839,1.64676148007262,-0.00000148007262
1870,0,77469,10928,128836,0,11693,78235.9709149187,128836,1.64676169405642,-0.00000169405642
1890,0,77446,11079,128834,0,11856,78234.4371552579,128834,1.64676841407226,-0.00000841407226
1910,0,77423,11230,128832,0,12019,78233.2015770798,128832,1.64676885776006,-0.00000885776006
1930,0,77400,11381,128830,0,12182,78232.2641945125,128830,1.64676302451996,-0.00000302451996
1950,0,77376,11532,128827,0,12345,78230.6359427047,128827,1.64675895124196,0.00000104875804
1970,0,77352,11683,128825,0,12508,78229.3064842071,128825,1.64676137102158,-0.00000137102158
1990,0,77328,11834,128823,0,12671,78228.2758342532,128823,1.64675750073982,0.00000249926018
2010,0,77303,11985,128820,0,12835,78226.5558106708,128820,1.64675535903407,0.00000464096593
2030,0,77278,12135,128818,0,12997,78224.9800830911,128818,1.64676296322695,-0.00000296322695
2050,0,77253,12285,128816,0,13160,78223.6999508461,128816,1.64676434483341,-0.00000434483341
2070,0,77228,12435,128814,0,13321,78222.7154284483,128814,1.64675950322676,0.00000049677324
2090,0,77202,12585,128811,0,13484,78221.0395545853,128811,1.6467564319458,0.0000035680542
2110,0,77176,12735,128809,1,13646,78219.6599391739,128809.000003882,1.64675990798283,0.00000009201717
2130,0,77150,12885,128807,0,13809,78218.5765978901,128807,1.64675714647912,0.00000285352088
2150,0,77123,13035,128804,0,13971,78216.8035271194,128804,1.64675612134087,0.00000387865913
2170,0,77096,13185,128802,0,14134,78215.3274045439,128802,1.64676162939027,-0.00000162939027
2190,0,77069,13335,128800,0,14296,78214.1482469764,128800,1.64676088516989,-0.00000088516989
2210,0,77041,13485,128797,0,14459,78212.2810433246,128797,1.64676184202651,-0.00000184202651
2230,0,77013,13635,128795,0,14622,78210.7115042435,128795,1.64676931743566,-0.00000931743566
2250,0,76985,13785,128792,0,14785,78209.4396476538,128792,1.64675773896641,0.00000226103359
2270,0,76957,13935,128791,0,14948,78208.4654880787,128791,1.64676546453442,-0.00000546453442
2290,0,76928,14085,128788,0,15111,78206.8053880223,128788,1.64676206068026,-0.00000206068026
2310,0,76899,14235,128786,0,15274,78205.4437107801,128786,1.64676515967708,-0.00000515967708
2330,0,76870,14385,128784,0,15437,78204.3804719403,128784,1.64676197449333,-0.00000197449333
2350,0,76840,14535,128781,0,15599,78202.6331078436,128781,1.6467604079572,-0.0000004079572
2370,0,76810,14685,128779,0,15763,78201.1849334778,128779,1.64676532855028,-0.00000532855028
2390,0,76780,14835,128777,0,15926,78200.0359654649,128777,1.64676394850856,-0.00000394850856
2410,0,76750,14984,128775,0,16088,78198.9945971174,128775,1.64676030252628,-0.00000030252628
2430,0,76719,15133,128772,0,16251,78197.2675353813,128772,1.64675830829684,0.00000169170316
2450,0,76688,15282,128770,0,16413,78195.8366410898,128770,1.64676286527939,-0.00000286527939
2470,0,76657,15431,128768,0,16575,78194.7019305017,128768,1.64676118484916,-0.00000118484916
2490,0,76625,15580,128765,0,16738,78192.8834677428,128765,1.64676111545522,-0.00000111545522
2510,0,76593,15729,128763,0,16901,78191.3619909514,128763,1.64676758047648,-0.00000758047648
2530,0,76561,15878,128761,0,17064,78190.1375174644,128761,1.64676779051885,-0.00000779051885
2550,0,76528,16027,128758,0,17226,78188.2312947415,128758,1.64676956963803,-0.00000956963803
2570,0,76495,16176,128755,0,17389,78186.622903154,128755,1.64676507590669,-0.00000507590669
2590,0,76462,16325,128753,0,17552,78185.3123610823,128753,1.64676709872798,-0.00000709872798
2610,0,76429,16474,128751,0,17715,78184.2996835042,128751,1.64676284779928,-0.00000284779928
2630,0,76395,16623,128748,0,17878,78182.6077462245,128748,1.64676011342455,-0.00000011342455
2650,0,76361,16772,128746,0,18041,78181.2145275321,128746,1.64676387771721,-0.00000387771721
2670,0,76327,16921,128744,0,18204,78180.1200433972,128744,1.64676134966965,-0.00000134966965
2690,0,76292,17070,128741,0,18367,78178.3484348448,128741,1.64676029332207,-0.00000029332207
2710,0,76257,17219,128739,0,18531,78176.8764405435,128739,1.64676571719914,-0.00000571719914
2730,0,76222,17367,128736,0,18693,78175.4819172866,128736,1.64675671761396,0.00000328238604
2750,0,76187,17515,128735,0,18856,78174.3832338957,128735,1.64676706965283,-0.00000706965283
2770,0,76151,17663,128732,0,19018,78172.6062633196,128732,1.64676612631251,-0.00000612631251
2790,0,76115,17811,128729,-1,19181,78171.1260376873,128729.000003884,1.64675893170353,0.00000106829647
2810,0,76079,17959,128727,0,19343,78169.9425738564,128727,1.64675827768936,0.00000172231064
2830,0,76042,18107,128724,0,19506,78168.0830838265,128724,1.64675907252271,0.00000092747729
2850,0,76005,18255,128722,0,19669,78166.5212862898,128722,1.64676638900876,-0.00000638900876
2870,0,75968,18403,128719,0,19832,78165.2571990907,128719,1.6467546402636,0.0000053597364
2890,0,75931,18551,128718,0,19995,78164.290836673,128718,1.64676220588965,-0.00000220588965
2910,0,75893,18699,128715,0,20158,78162.6512472549,128715,1.64675836791706,0.00000163208294
2930,0,75855,18847,128713,0,20321,78161.3103395791,128713,1.64676103101131,-0.00000103101131
2950,0,75817,18995,128711,0,20484,78160.2681290181,128711,1.64675740092829,0.00000259907171
2970,0,75778,19143,128709,0,20648,78158.5550851601,128709,1.64676790480276,-0.00000790480276
2990,0,75739,19291,128706,0,20811,78157.1417210225,128706,1.6467593001214,0.0000006998786
3010,0,75700,19438,128704,-1,20974,78155.7793384469,128704.000003885,1.64676241595063,-0.00000241595063
3030,0,75661,19585,128702,0,21136,78154.7128841249,128702,1.64675929640761,0.00000070359239
3050,0,75621,19732,128699,0,21298,78152.9747674393,128699,1.64675753396427,0.00000246603573
3070,0,75581,19879,128697,0,21461,78151.5335870001,128697,1.64676231025884,-0.00000231025884
3090,0,75541,20026,128695,0,21623,78150.3893592348,128695,1.64676082941092,-0.00000082941092
3110,0,75500,20173,128692,0,21786,78148.5759883058,128692,1.64676065267341,-0.00000065267341
3130,0,75459,20320,128689,0,21949,78147.0606037105,128689,1.64675419658573,0.00000580341427
3150,0,75418,20467,128688,0,22112,78145.8432227844,128688,1.64676705366306,-0.00000705366306
3170,0,75377,20614,128686,0,22275,78144.9238594549,128686,1.64676083415788,-0.00000083415788
3190,0,75335,20761,128683,1,22438,78143.3384620852,128683.000003886,1.64675585323658,0.00000414676342
3210,0,75293,20908,128681,0,22602,78142.0521422365,128681,1.64675736651721,0.00000263348279
3230,0,75251,21055,128680,0,22765,78141.0649146785,128680,1.64676537414104,-0.00000537414104
3250,0,75208,21201,128677,-1,22928,78139.1429758479,128677.000003886,1.64676748558221,-0.00000748558221
3270,0,75165,21347,128674,0,23090,78137.5174548053,128674,1.64676334994166,-0.00000334994166
3290,0,75122,21493,128671,0,23253,78136.1883700504,128671,1.64675296663587,0.00000703336413
3310,0,75079,21639,128670,0,23415,78135.1557367105,128670,1.64676193176827,-0.00000193176827
3330,0,75035,21785,128667,0,23578,78133.459222026,128667,1.64675929212831,0.00000070787169
3350,0,74991,21931,128665,0,23741,78132.0602697766,128665,1.64676317961848,-0.00000317961848
3370,0,74947,22077,128663,0,23904,78130.958895946,128663,1.6467607951843,-0.0000007951843
3390,0,74902,22223,128660,0,24067,78129.1964184965,128660,1.64675954569962,0.00000045430038
3410,0,74857,22369,128658,0,24230,78127.7326562086,128658,1.64676479946172,-0.00000479946172
3430,0,74812,22515,128656,0,24393,78126.5676258723,128656,1.64676375667878,-0.00000375667878
3450,0,74767,22661,128654,0,24556,78125.701340852,128654,1.64675641679938,0.00000358320062
3470,0,74721,22807,128652,0,24720,78124.177371669,128652,1.64676293982526,-0.00000293982526
3490,0,74675,22952,128649,0,24883,78122.6595105415,128649,1.64675653396875,0.00000346603125
3510,0,74629,23097,128647,0,25045,78121.4378387904,128647,1.64675668496365,0.00000331503635
3530,0,74582,23242,128644,0,25208,78119.5576536375,128644,1.64675791650505,0.00000208349495
3550,0,74535,23387,128642,0,25370,78117.9748457421,128642,1.64676568042152,-0.00000568042152
3570,0,74488,23532,128639,0,25533,78116.6894331807,128639,1.64675437391692,0.00000562608308
3590,0,74441,23677,128638,0,25696,78115.7014306343,128638,1.64676240044044,-0.00000240044044
3610,0,74393,23822,128635,0,25859,78114.0584850128,128635,1.64675863083827,0.00000136916173
3630,0,74345,23967,128633,0,26022,78112.7141635726,128633,1.6467613675622,-0.0000013675622
3650,0,74297,24112,128631,0,26186,78111.668481732,128631,1.64675780840711,0.00000219159289
3670,0,74248,24257,128628,0,26349,78109.9708936062,128628,1.64675519051472,0.00000480948528
3690,0,74199,24402,128626,1,26512,78108.5731850224,128626.000003887,1.64675905293008,0.00000094706992
3710,0,74150,24546,128624,0,26675,78107.1611057526,128624,1.64676321836676,-0.00000321836676
3730,0,74101,24690,128622,0,26838,78106.0452269861,128622,1.64676113899005,-0.00000113899005
3750,0,74051,24834,128620,0,27000,78104.2774564876,128620,1.64677280410993,-0.00001280410993
3770,0,74001,24978,128617,0,27163,78102.8071518559,128617,1.6467653941033,-0.0000053941033
3790,0,73951,25122,128615,0,27326,78101.6343298909,128615,1.64676451528207,-0.00000451528207
3810,0,73900,25266,128612,0,27489,78099.8127782647,128612,1.64676451101292,-0.00000451101292
3830,0,73849,25410,128610,0,27652,78098.2900004859,128610,1.64677101123725,-0.00001101123725
3850,0,73798,25554,128608,0,27815,78097.0660140315,128608,1.64677121131405,-0.00001121131405
3870,0,73747,25698,128606,0,27978,78096.1408329503,128606,1.64676511064857,-0.00000511064857
3890,0,73695,25842,128604,0,28142,78094.5708036096,128604,1.64677260757871,-0.00001260757871
3910,0,73643,25985,128601,0,28305,78092.9681469465,128601,1.64676798758645,-0.00000798758645
3930,0,73591,26128,128599,0,28467,78091.6619428733,128599,1.64676992140434,-0.00000992140434
3950,0,73538,26271,128595,0,28630,78089.7104937648,128595,1.64675985077788,0.00000014922212
3970,0,73485,26414,128593,0,28793,78088.0568396986,128593,1.64676911174752,-0.00000911174752
3990,0,73432,26557,128590,0,28956,78086.700999594,128590,1.64675928620251,0.00000071379749
4010,0,73379,26700,128589,0,29119,78085.6429889644,128589,1.6467687922884,-0.0000087922884
4030,0,73325,26843,128586,0,29283,78083.943765668,128586,1.6467662082475,-0.0000062082475
4050,0,73271,26986,128584,0,29446,78082.5437405826,128584,1.64677012095304,-0.00001012095304
4070,0,73217,27129,128582,0,29609,78081.4429298025,128582,1.64676772322969,-0.00000772322969
4090,0,73163,27272,128581,-1,29773,78080.6413459828,128581.000003889,1.64677182189288,-0.00001182189288
4110,0,73108,27414,128577,0,29935,78078.851554054,128577,1.64675834032966,0.00000165967034
4130,0,73053,27556,128575,0,30098,78077.3587219752,128575,1.64676421058045,-0.00000421058045
4150,0,72998,27698,128573,0,30261,78076.1628667803,128573,1.64676381726624,-0.00000381726624
4170,0,72942,27840,128570,0,30424,78074.329737757,128570,1.64676405717285,-0.00000405717285
4190,0,72886,27982,128567,0,30587,78072.7950056868,128567,1.64675800309999,0.00000199690001
4210,0,72830,28124,128566,0,30750,78071.5586881676,128566,1.64677127189834,-0.00001127189834
4230,0,72774,28266,128564,-1,30914,78070.6207993763,128564.000003889,1.64676543733742,-0.00000543733742
4250,0,72717,28408,128562,0,31077,78069.0499045556,128562,1.64677295493125,-0.00001295493125
4270,0,72660,28550,128559,0,31240,78067.7788847614,128559,1.64676133785964,-0.00000133785964
4290,0,72603,28691,128557,0,31403,78066.4402288205,128557,1.64676395674232,-0.00000395674232
4310,0,72545,28832,128554,0,31566,78064.4685436339,128554,1.64676711951411,-0.00000711951411
4330,0,72487,28973,128551,0,31729,78062.7945823105,128551,1.64676400182489,-0.00000400182489
4350,0,72429,29114,128549,0,31892,78061.4183640036,128549,1.64676741332794,-0.00000741332794
4370,0,72371,29255,128547,0,32055,78060.3399044611,128547,1.64676454339464,-0.00000454339464
4390,0,72312,29396,128544,1,32218,78058.6328345558,128544.00000389,1.64676212400923,-0.00000212400923
4410,0,72253,29537,128542,0,32382,78057.2250211343,128542,1.64676620217023,-0.00000620217023
4430,0,72194,29678,128540,0,32545,78056.1164803886,128540,1.64676396669434,-0.00000396669434
4450,0,72135,29819,128539,0,32708,78055.3072250696,128539,1.6467682284481,-0.0000082284481
4470,0,72075,29959,128536,0,32871,78053.4900308756,128536,1.64676813233021,-0.00000813233021
4490,0,72015,30099,128533,0,33034,78051.9700327929,128533,1.64676176585931,-0.00000176585931
4510,0,71955,30239,128531,0,33197,78050.7472481846,128531,1.64676194055259,-0.00000194055259
4530,0,71894,30379,128528,0,33360,78048.9005495913,128528,1.64676246679907,-0.00000246679907
4550,0,71833,30519,128526,0,33524,78047.3526136537,128526,1.64676950205119,-0.00000950205119
4570,0,71772,30659,128524,0,33687,78046.1034581484,128524,1.64677023330088,-0.00001023330088
4590,0,71711,30799,128522,0,33850,78045.1530974217,128522,1.64676465993435,-0.00000465993435
4610,0,71649,30939,128519,0,34014,78043.5834774391,128519,1.64675933976241,0.00000066023759
4630,0,71587,31078,128516,0,34176,78041.9160003136,128516,1.64675608424944,0.00000391575056
4650,0,71525,31217,128514,0,34339,78040.5453210061,128514,1.64675937964529,0.00000062035471
4670,0,71463,31356,128513,0,34502,78039.4714551553,128513,1.64676922592753,-0.00000922592753
4690,0,71400,31495,128510,0,34665,78037.7794725093,128510,1.64676648757376,-0.00000648757376
4710,0,71337,31634,128508,0,34829,78036.385904269,128508,1.64677026634277,-0.00001026634277
4730,0,71274,31773,128506,0,34991,78035.2907664218,128506,1.64676774748811,-0.00000774748811
4750,0,71210,31912,128503,0,35155,78033.5815146274,128503,1.64676537339135,-0.00000537339135
