  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    2190,     5194,    13568,        0,    21638,     5568,   131013
    2210,     5247,    13568,        0,    21638,     5568,   131066
    2230,     5300,    13568,        0,    21638,     5568,       47
    2250,     5353,    13568,        0,    21594,     5736,   131009
    2270,     5406,    13568,        0,    21594,     5736,   131062
    2290,     5459,    13568,        0,    21594,     5736,       43
    2310,     5512,    13568,        0,    21549,     5905,   131005
    2330,     5565,    13568,        0,    21549,     5905,   131058
    2350,     5618,    13568,        0,    21549,     5905,       39
    2370,     5671,    13568,        0,    21502,     6073,   131001
    2390,     5724,    13568,        0,    21502,     6073,   131054
    2410,     5777,    13568,        0,    21502,     6073,       35
    2430,     5830,    13568,        0,    21454,     6241,   130997
    2450,     5883,    13568,        0,    21454,     6241,   131050
    2470,     5936,    13568,        0,    21454,     6241,       31
    2490,     5989,    13568,        0,    21405,     6408,   130993
    2510,     6042,    13568,        0,    21405,     6408,   131046
    2530,     6095,    13568,        0,    21405,     6408,       27
    2550,     6148,    13568,        0,    21405,     6408,       80
    2570,     6201,    13568,        0,    21354,     6575,   131042
    2590,     6254,    13568,        0,    21354,     6575,       23
    2610,     6307,    13568,        0,    21354,     6575,       76
    2630,     6360,    13568,        0,    21302,     6742,   131038
    2650,     6413,    13568,        0,    21302,     6742,       19
    2670,     6466,    13568,        0,    21302,     6742,       72
    2690,     6519,    13568,        0,    21249,     6908,   131034
    2710,     6572,    13568,        0,    21249,     6908,       15
    2730,     6625,    13568,        0,    21249,     6908,       68
    2750,     6678,    13568,        0,    21194,     7074,   131030
    2770,     6731,    13568,        0,    21199,     7058,       27
    2790,     6784,    13568,        0,    21199,     7058,       80
    2810,     6837,    13568,        0,    21143,     7223,   131042
    2830,     6890,    13568,        0,    21143,     7223,       23
    2850,     6943,    13568,        0,    21143,     7223,       76
    2870,     6996,    13568,        0,    21086,     7388,   131038
    2890,     7049,    13568,        0,    21086,     7388,       19
    2910,     7102,    13568,        0,    21086,     7388,       72
    2930,     7155,    13568,        0,    21028,     7552,   131034
    2950,     7208,    13568,        0,    21028,     7552,       15
    2970,     7261,    13568,        0,    21028,     7552,       68
    2990,     7314,    13568,        0,    20968,     7716,   131030
    3010,     7367,    13568,        0,    20968,     7716,       11
    3030,     7420,    13568,        0,    20968,     7716,       64
    3050,     7473,    13568,        0,    20908,     7880,   131026
    3070,     7526,    13568,        0,    20908,     7880,        7
    3090,     7579,    13568,        0,    20908,     7880,       60
    3110,     7632,    13568,        0,    20845,     8043,   131022
    3130,     7685,    13568,        0,    20845,     8043,        3
    3150,     7738,    13568,        0,    20845,     8043,       56
    3170,     7791,    13568,        0,    20782,     8206,   131018
    3190,     7844,    13568,        0,    20782,     8206,   131071
    3210,     7897,    13568,        0,    20782,     8206,       52
    3230,     7950,    13568,        0,    20717,     8367,   131015
    3250,     8003,    13568,        0,    20717,     8367,   131068
    3270,     8056,    13568,        0,    20717,     8367,       49
    3290,     8109,    13568,        0,    20651,     8529,   131011
    3310,     8162,    13568,        0,    20651,     8529,   131064
    3330,     8215,    13568,        0,    20651,     8529,       45
    3350,     8268,    13568,        0,    20584,     8690,   131007
    3370,     8321,    13568,        0,    20584,     8690,   131060
    3390,     8374,    13568,        0,    20584,     8690,       41
    3410,     8427,    13568,        0,    20515,     8851,   131003
    3430,     8480,    13568,        0,    20515,     8851,   131056
    3450,     8533,    13568,        0,    20515,     8851,       37
    3470,     8586,    13568,        0,    20446,     9011,   130999
    3490,     8639,    13568,        0,    20446,     9011,   131052
    3510,     8692,    13568,        0,    20446,     9011,       33
    3530,     8745,    13568,        0,    20375,     9170,   130995
    3550,     8798,    13568,        0,    20375,     9170,   131048
    3570,     8851,    13568,        0,    20375,     9170,       29
    3590,     8904,    13568,        0,    20302,     9329,   130991
    3610,     8957,    13568,        0,    20302,     9329,   131044
    3630,     9010,    13568,        0,    20302,     9329,       25
    3650,     9063,    13568,        0,    20302,     9329,       78
    3670,     9116,    13568,        0,    20229,     9487,   131040
    3690,     9169,    13568,        0,    20229,     9487,       21
    3710,     9222,    13568,        0,    20229,     9487,       74
    3730,     9275,    13568,        0,    20156,     9642,   131039
    3750,     9328,    13568,        0,    20156,     9642,       20
    3770,     9381,    13568,        0,    20156,     9642,       73
