  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
      10,        0,        0,        0,        0,        0,        0
      30,        0,        0,        0,        0,        0,        0
      50,        0,        0,        0,        0,        0,        0
      70,        0,        0,        0,        0,        0,        0
      90,        0,        0,        0,        0,        0,        0
     110,        0,        0,        0,        0,        0,        0
     130,        0,        0,        0,        0,        0,        0
     150,        0,        0,        0,        0,        0,        0
     170,        0,        0,        0,        0,        0,        0
     190,        0,        0,        0,        0,        0,        0
     210,        0,        0,        0,        0,        0,        0
     230,        0,        0,        0,        0,        0,        0
     250,        0,        0,        0,        0,        0,        0
     270,        0,        0,        0,        0,        0,        0
     290,        0,        0,        0,        0,        0,        0
     310,        0,        0,        0,        0,        0,        0
     330,        0,        0,        0,        0,        0,        0
     350,        0,        0,        0,        0,        0,        0
     370,        0,        0,        0,        0,        0,        0
     390,        0,        0,        0,        0,        0,        0
     410,        0,        0,        0,        0,        0,        0
     430,        0,    13568,        0,    22343,        0,        0
     450,       53,    13568,        0,    22343,       57,        0
     470,      106,    13568,        0,    22343,      114,        0
     490,      159,    13568,        0,    22343,      170,        0
     510,      212,    13568,        0,    22342,      227,        0
     530,      265,    13568,        0,    22341,      284,        0
     550,      318,    13568,        0,    22341,      341,        0
     570,      371,    13568,        0,    22340,      397,        0
     590,      424,    13568,        0,    22339,      454,        0
     610,      477,    13568,        0,    22337,      511,        0
     630,      530,    13568,        0,    22336,      568,        0
     650,      583,    13568,        0,    22335,      624,        0
     670,      636,    13568,        0,    22333,      681,        0
     690,      689,    13568,        0,    22331,      738,        0
     710,      742,    13568,        0,    22329,      795,        0
     730,      795,    13568,        0,    22327,      851,        0
     750,      848,    13568,        0,    22325,      908,        0
     770,      901,    13568,        0,    22322,      965,        0
     790,      954,    13568,        0,    22320,     1021,        0
     810,     1007,    13568,        0,    22317,     1078,        0
     830,     1060,    13568,        0,    22314,     1135,        0
     850,     1113,    13568,        0,    22311,     1192,        0
     870,     1166,    13568,        0,    22308,     1248,        0
     890,     1219,    13568,        0,    22305,     1305,        0
     910,     1272,    13568,        0,    22302,     1362,        0
     930,     1325,    13568,        0,    22298,     1418,        0
     950,     1378,    13568,        0,    22295,     1475,        0
     970,     1431,    13568,        0,    22291,     1532,        0
     990,     1484,    13568,        0,    22287,     1588,        0
    1010,     1537,    13568,        0,    22283,     1645,        0
    1030,     1590,    13568,        0,    22278,     1701,        0
    1050,     1643,    13568,        0,    22274,     1758,        0
    1070,     1696,    13568,        0,    22269,     1815,        0
    1090,     1749,    13568,        0,    22265,     1871,        0
    1110,     1802,    13568,        0,    22260,     1928,        0
    1130,     1855,    13568,        0,    22255,     1984,        0
    1150,     1908,    13568,        0,    22250,     2041,        0
    1170,     1961,    13568,        0,    22245,     2097,        0
    1190,     2014,    13568,        0,    22239,     2154,        0
    1210,     2067,    13568,        0,    22234,     2210,        0
    1230,     2120,    13568,        0,    22228,     2267,        0
    1250,     2173,    13568,        0,    22222,     2323,        0
    1270,     2226,    13568,        0,    22216,     2380,        0
    1290,     2279,    13568,        0,    22210,     2436,        0
    1310,     2332,    13568,        0,    22204,     2493,        0
    1330,     2385,    13568,        0,    22197,     2549,        0
    1350,     2438,    13568,        0,    22191,     2605,        0
    1370,     2491,    13568,        0,    22184,     2662,        0
    1390,     2544,    13568,        0,    22177,     2718,        0
    1410,     2597,    13568,        0,    22170,     2774,        0
    1430,     2650,    13568,        0,    22163,     2831,        0
    1450,     2703,    13568,        0,    22156,     2887,        0
    1470,     2756,    13568,        0,    22149,     2943,        0
    1490,     2809,    13568,        0,    22141,     2999,        0
    1510,     2862,    13568,        0,    22133,     3056,        0
    1530,     2915,    13568,        0,    22125,     3112,        0
    1550,     2968,    13568,        0,    22117,     3168,        0
