  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
      10,        0,        0,        0,        0,        0,        0
      30,        0,        0,        0,        0,        0,  4194302
      50,        0,        0,        0,        0,        0,  4194302
      70,        0,        0,        0,        0,        0,  4194302
      90,        0,        0,        0,        0,        0,  4194301
     110,        0,        0,        0,        0,        0,  4194302
     130,        0,        0,        0,        0,        0,  4194301
     150,        0,        0,        0,        0,        0,  4194301
     170,        0,        0,        0,        0,        0,  4194301
     190,        0,        0,        0,        0,        0,  4194301
     210,        0,        0,        0,        0,        0,  4194301
     230,        0,        0,        0,        0,        0,  4194302
     250,        0,        0,        0,        0,        0,  4194302
     270,        0,        0,        0,        0,        0,  4194302
     290,        0,        0,        0,        0,        0,  4194302
     310,        0,        0,        0,        0,        0,  4194302
     330,        0,        0,        0,        0,        0,  4194303
     350,        0,        0,        0,        0,        0,        0
     370,        0,        0,        0,        0,        0,        2
     390,        0,        0,        0,        0,        0,        0
     410,        0,        0,        0,        0,        0,        0
     430,        0,   626688,        0,  1032007,       -2,        1
     450,        0,   626669,     1224,  1031978,       -1,     1305
     470,        0,   626648,     2447,  1031949,       -4,     2609
     490,        0,   626625,     3670,  1031921,       -4,     3913
     510,        0,   626599,     4893,  1031892,        2,     5211
     530,        0,   626571,     6116,  1031863,        1,     6515
     550,        0,   626541,     7339,  1031835,        1,     7819
     570,        0,   626508,     8562,  1031806,        0,     9123
     590,        0,   626473,     9785,  1031780,        1,    10425
     610,        0,   626435,    11008,  1031750,        1,    11729
     630,        0,   626395,    12231,  1031722,        1,    13033
     650,        0,   626353,    13454,  1031692,        1,    14337
     670,        0,   626308,    14677,  1031665,        1,    15640
     690,        0,   626261,    15900,  1031636,        2,    16944
     710,        0,   626211,    17123,  1031606,        2,    18248
     730,        0,   626159,    18346,  1031578,        4,    19552
     750,        0,   626105,    19568,  1031551,        2,    20855
     770,        0,   626048,    20790,  1031521,        3,    22159
     790,        0,   625989,    22012,  1031493,        2,    23463
     810,        0,   625928,    23234,  1031465,        3,    24767
     830,        0,   625864,    24456,  1031436,        4,    26070
     850,        0,   625798,    25678,  1031408,        4,    27374
     870,        0,   625729,    26900,  1031380,       -4,    28684
     890,        0,   625658,    28122,  1031351,       -3,    29988
     910,        0,   625585,    29343,  1031324,       -3,    31290
     930,        0,   625509,    30564,  1031295,       -2,    32594
     950,        0,   625431,    31785,  1031267,       -1,    33898
     970,        0,   625350,    33006,  1031237,       -1,    35202
     990,        0,   625267,    34226,  1031210,       -1,    36505
    1010,        0,   625182,    35446,  1031180,       -1,    37809
    1030,        0,   625094,    36666,  1031152,       -1,    39113
    1050,        0,   625004,    37885,  1031123,       -1,    40417
    1070,        0,   624912,    39104,  1031096,       -4,    41720
    1090,        0,   624817,    40323,  1031066,       -3,    43024
    1110,        0,   624720,    41542,  1031038,        4,    44322
    1130,        0,   624620,    42761,  1031009,       -3,    45632
    1150,        0,   624518,    43979,  1030980,        4,    46929
    1170,        0,   624414,    45197,  1030951,        4,    48233
    1190,        0,   624307,    46415,  1030922,        4,    49537
    1210,        0,   624198,    47633,  1030894,       -4,    50847
    1230,        0,   624086,    48851,  1030867,        1,    52146
    1250,        0,   623972,    50068,  1030837,        1,    53450
    1270,        0,   623856,    51285,  1030810,        0,    54754
    1290,        0,   623737,    52502,  1030779,        0,    56058
    1310,        0,   623616,    53719,  1030752,        1,    57361
    1330,        0,   623493,    54936,  1030723,        2,    58665
    1350,        0,   623367,    56152,  1030694,        2,    59969
    1370,        0,   623239,    57368,  1030665,        3,    61273
    1390,        0,   623108,    58584,  1030637,        3,    62576
    1410,        0,   622975,    59800,  1030607,       -3,    63885
    1430,        0,   622840,    61015,  1030580,       -3,    65189
    1450,        0,   622702,    62230,  1030549,       -1,    66493
    1470,        0,   622562,    63445,  1030522,       -1,    67796
    1490,        0,   622421,    64659,  1030495,        0,    69100
    1510,        0,   622277,    65873,  1030468,        0,    70404
    1530,        0,   622131,    67086,  1030440,       -1,    71708
    1550,        0,   621982,    68299,  1030414,        0,    73010
    1570,        0,   621831,    69511,  1030386,       -1,    74314
    1590,        0,   621678,    70723,  1030359,       -2,    75618
    1610,        0,   621522,    71935,  1030331,       -1,    76922
    1630,        0,   621364,    73146,  1030305,        3,    78220
    1650,        0,   621204,    74357,  1030277,       -3,    79529
    1670,        0,   621041,    75568,  1030251,        2,    80828
    1690,        0,   620876,    76778,  1030223,        1,    82132
    1710,        0,   620709,    77988,  1030197,        0,    83435
    1730,        0,   620539,    79198,  1030169,        1,    84739
    1750,        0,   620367,    80407,  1030143,        0,    86043
    1770,        0,   620192,    81616,  1030113,        1,    87347
    1790,        0,   620015,    82825,  1030088,        0,    88650
    1810,        0,   619836,    84033,  1030059,        0,    89954
    1830,        0,   619654,    85241,  1030032,       -1,    91258
    1850,        0,   619470,    86449,  1030004,        0,    92562
    1870,        0,   619284,    87656,  1029979,        0,    93864
    1890,        0,   619095,    88863,  1029951,        1,    95168
    1910,        0,   618904,    90070,  1029925,        1,    96472
    1930,        0,   618711,    91276,  1029897,        2,    97776
    1950,        0,   618515,    92482,  1029870,        1,    99079
    1970,        0,   618317,    93688,  1029843,        2,   100383
    1990,        0,   618117,    94893,  1029817,        3,   101687
    2010,        0,   617914,    96098,  1029787,       -3,   102996
    2030,        0,   617709,    97302,  1029763,        2,   104294
    2050,        0,   617501,    98506,  1029734,       -3,   105603
    2070,        0,   617291,    99709,  1029706,       -3,   106907
    2090,        0,   617079,   100911,  1029679,        3,   108206
    2110,        0,   616864,   102113,  1029652,        2,   109509
    2130,        0,   616647,   103314,  1029624,        1,   110813
    2150,        0,   616428,   104515,  1029597,       -1,   112117
