  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    2550,        0,    76528,    16027,   128758,        0,    17226
    2570,        0,    76495,    16176,   128755,        0,    17389
    2590,        0,    76462,    16325,   128753,        0,    17552
    2610,        0,    76429,    16474,   128751,        0,    17715
    2630,        0,    76395,    16623,   128748,        0,    17878
    2650,        0,    76361,    16772,   128746,        0,    18041
    2670,        0,    76327,    16921,   128744,        0,    18204
    2690,        0,    76292,    17070,   128741,        0,    18367
    2710,        0,    76257,    17219,   128739,        0,    18531
    2730,        0,    76222,    17367,   128736,        0,    18693
    2750,        0,    76187,    17515,   128735,        0,    18856
    2770,        0,    76151,    17663,   128732,        0,    19018
    2790,        0,    76115,    17811,   128729,       -1,    19181
    2810,        0,    76079,    17959,   128727,        0,    19343
    2830,        0,    76042,    18107,   128724,        0,    19506
    2850,        0,    76005,    18255,   128722,        0,    19669
    2870,        0,    75968,    18403,   128719,        0,    19832
    2890,        0,    75931,    18551,   128718,        0,    19995
    2910,        0,    75893,    18699,   128715,        0,    20158
    2930,        0,    75855,    18847,   128713,        0,    20321
    2950,        0,    75817,    18995,   128711,        0,    20484
    2970,        0,    75778,    19143,   128709,        0,    20648
    2990,        0,    75739,    19291,   128706,        0,    20811
    3010,        0,    75700,    19438,   128704,       -1,    20974
    3030,        0,    75661,    19585,   128702,        0,    21136
    3050,        0,    75621,    19732,   128699,        0,    21298
    3070,        0,    75581,    19879,   128697,        0,    21461
    3090,        0,    75541,    20026,   128695,        0,    21623
    3110,        0,    75500,    20173,   128692,        0,    21786
    3130,        0,    75459,    20320,   128689,        0,    21949
    3150,        0,    75418,    20467,   128688,        0,    22112
    3170,        0,    75377,    20614,   128686,        0,    22275
    3190,        0,    75335,    20761,   128683,        1,    22438
    3210,        0,    75293,    20908,   128681,        0,    22602
    3230,        0,    75251,    21055,   128680,        0,    22765
    3250,        0,    75208,    21201,   128677,       -1,    22928
    3270,        0,    75165,    21347,   128674,        0,    23090
    3290,        0,    75122,    21493,   128671,        0,    23253
    3310,        0,    75079,    21639,   128670,        0,    23415
    3330,        0,    75035,    21785,   128667,        0,    23578
    3350,        0,    74991,    21931,   128665,        0,    23741
    3370,        0,    74947,    22077,   128663,        0,    23904
    3390,        0,    74902,    22223,   128660,        0,    24067
    3410,        0,    74857,    22369,   128658,        0,    24230
    3430,        0,    74812,    22515,   128656,        0,    24393
    3450,        0,    74767,    22661,   128654,        0,    24556
    3470,        0,    74721,    22807,   128652,        0,    24720
    3490,        0,    74675,    22952,   128649,        0,    24883
    3510,        0,    74629,    23097,   128647,        0,    25045
    3530,        0,    74582,    23242,   128644,        0,    25208
    3550,        0,    74535,    23387,   128642,        0,    25370
    3570,        0,    74488,    23532,   128639,        0,    25533
    3590,        0,    74441,    23677,   128638,        0,    25696
    3610,        0,    74393,    23822,   128635,        0,    25859
    3630,        0,    74345,    23967,   128633,        0,    26022
    3650,        0,    74297,    24112,   128631,        0,    26186
    3670,        0,    74248,    24257,   128628,        0,    26349
    3690,        0,    74199,    24402,   128626,        1,    26512
    3710,        0,    74150,    24546,   128624,        0,    26675
    3730,        0,    74101,    24690,   128622,        0,    26838
    3750,        0,    74051,    24834,   128620,        0,    27000
    3770,        0,    74001,    24978,   128617,        0,    27163
    3790,        0,    73951,    25122,   128615,        0,    27326
    3810,        0,    73900,    25266,   128612,        0,    27489
    3830,        0,    73849,    25410,   128610,        0,    27652
    3850,        0,    73798,    25554,   128608,        0,    27815
    3870,        0,    73747,    25698,   128606,        0,    27978
    3890,        0,    73695,    25842,   128604,        0,    28142
    3910,        0,    73643,    25985,   128601,        0,    28305
    3930,        0,    73591,    26128,   128599,        0,    28467
    3950,        0,    73538,    26271,   128595,        0,    28630
    3970,        0,    73485,    26414,   128593,        0,    28793
    3990,        0,    73432,    26557,   128590,        0,    28956
    4010,        0,    73379,    26700,   128589,        0,    29119
    4030,        0,    73325,    26843,   128586,        0,    29283
    4050,        0,    73271,    26986,   128584,        0,    29446
    4070,        0,    73217,    27129,   128582,        0,    29609
    4090,        0,    73163,    27272,   128581,       -1,    29773
    4110,        0,    73108,    27414,   128577,        0,    29935
    4130,        0,    73053,    27556,   128575,        0,    30098
    4150,        0,    72998,    27698,   128573,        0,    30261
    4170,        0,    72942,    27840,   128570,        0,    30424
    4190,        0,    72886,    27982,   128567,        0,    30587
    4210,        0,    72830,    28124,   128566,        0,    30750
    4230,        0,    72774,    28266,   128564,       -1,    30914
    4250,        0,    72717,    28408,   128562,        0,    31077
    4270,        0,    72660,    28550,   128559,        0,    31240
    4290,        0,    72603,    28691,   128557,        0,    31403
    4310,        0,    72545,    28832,   128554,        0,    31566
    4330,        0,    72487,    28973,   128551,        0,    31729
    4350,        0,    72429,    29114,   128549,        0,    31892
    4370,        0,    72371,    29255,   128547,        0,    32055
    4390,        0,    72312,    29396,   128544,        1,    32218
    4410,        0,    72253,    29537,   128542,        0,    32382
    4430,        0,    72194,    29678,   128540,        0,    32545
    4450,        0,    72135,    29819,   128539,        0,    32708
    4470,        0,    72075,    29959,   128536,        0,    32871
    4490,        0,    72015,    30099,   128533,        0,    33034
    4510,        0,    71955,    30239,   128531,        0,    33197
    4530,        0,    71894,    30379,   128528,        0,    33360
    4550,        0,    71833,    30519,   128526,        0,    33524
    4570,        0,    71772,    30659,   128524,        0,    33687
    4590,        0,    71711,    30799,   128522,        0,    33850
    4610,        0,    71649,    30939,   128519,        0,    34014
    4630,        0,    71587,    31078,   128516,        0,    34176
    4650,        0,    71525,    31217,   128514,        0,    34339
    4670,        0,    71463,    31356,   128513,        0,    34502
    4690,        0,    71400,    31495,   128510,        0,    34665
    4710,        0,    71337,    31634,   128508,        0,    34829
    4730,        0,    71274,    31773,   128506,        0,    34991
    4750,        0,    71210,    31912,   128503,        0,    35155
    4770,        0,    71146,    32051,   128501,        0,    35319
    4790,        0,    71082,    32189,   128498,        0,    35481
    4810,        0,    71018,    32327,   128496,        0,    35644
    4830,        0,    70953,    32465,   128493,        0,    35807
    4850,        0,    70888,    32603,   128490,        0,    35970
    4870,        0,    70823,    32741,   128488,        0,    36134
    4890,        0,    70758,    32879,   128487,        0,    36296
    4910,        0,    70692,    33016,   128484,        0,    36459
    4930,        0,    70626,    33153,   128481,        0,    36622
    4950,        0,    70560,    33289,   128478,        0,    36784
    4970,        0,    70493,    33425,   128474,        0,    36945
    4990,        0,    70426,    33561,   128470,        0,    37107
    5010,        0,    70359,    33697,   128467,        0,    37270
    5030,        0,    70292,    33833,   128465,        0,    37432
    5050,        0,    70224,    33969,   128461,        0,    37594
    5070,        0,    70156,    34105,   128458,        0,    37757
    5090,        0,    70088,    34241,   128456,        0,    37920
    5110,        0,    70020,    34376,   128453,        0,    38081
    5130,        0,    69951,    34511,   128449,        0,    38244
    5150,        0,    69882,    34646,   128446,        0,    38406
    5170,        0,    69813,    34781,   128443,        0,    38568
    5190,        0,    69744,    34916,   128441,        0,    38730
    5210,        0,    69674,    35051,   128437,        0,    38893
    5230,        0,    69604,    35186,   128435,        0,    39055
    5250,        0,    69534,    35320,   128432,        0,    39217
    5270,        0,    69464,    35454,   128429,        0,    39379
    5290,        0,    69393,    35588,   128425,        0,    39541
    5310,        0,    69322,    35722,   128422,        0,    39703
    5330,        0,    69251,    35856,   128420,        0,    39866
    5350,        0,    69179,    35990,   128416,        0,    40029
    5370,        0,    69107,    36124,   128413,        0,    40192
    5390,        0,    69035,    36257,   128410,        0,    40353
    5410,        0,    68963,    36390,   128407,        0,    40515
    5430,        0,    68890,    36523,   128403,        0,    40677
