  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    2490,     5459,   434176,        0,   714960,     5849,        0
    2510,     5512,   434176,        0,   714959,     5905,        1
    2530,     5565,   434176,        0,   714959,     5963,  4194302
    2550,     5618,   434176,        0,   714959,     6018,        1
    2570,     5671,   434176,        0,   714959,     6071,        3
    2590,     5724,   434176,        0,   714958,     6133,  4194303
    2610,     5777,   434176,        0,   714958,     6188,        2
    2630,     5830,   434176,        0,   714958,     6246,  4194303
    2650,     5883,   434176,        0,   714957,     6302,        0
    2670,     5936,   434176,        0,   714957,     6362,  4194302
    2690,     5989,   434176,        0,   714957,     6415,        0
    2710,     6042,   434176,        0,   714954,     6472,        1
    2730,     6095,   434176,        0,   714954,     6531,  4194303
    2750,     6148,   434176,        0,   714954,     6585,        1
    2770,     6201,   434176,        0,   714953,     6639,        3
    2790,     6254,   434176,        0,   714953,     6700,        0
    2810,     6307,   434176,        0,   714953,     6754,        2
    2830,     6360,   434176,        0,   714951,     6814,  4194303
    2850,     6413,   434176,        0,   714951,     6870,        1
    2870,     6466,   434176,        0,   714951,     6929,  4194302
    2890,     6519,   434176,        0,   714950,     6983,        0
    2910,     6572,   434176,        0,   714950,     7039,        2
    2930,     6625,   434176,        0,   714950,     7097,  4194303
    2950,     6678,   434176,        0,   714948,     7153,        1
    2970,     6731,   434176,        0,   714948,     7214,  4194302
    2990,     6784,   434176,        0,   714948,     7267,        0
    3010,     6837,   434176,        0,   714947,     7322,        2
    3030,     6890,   434176,        0,   714947,     7380,  4194303
    3050,     6943,   434176,        0,   714947,     7436,        1
    3070,     6996,   434176,        0,   714945,     7497,  4194302
    3090,     7049,   434176,        0,   714945,     7550,        0
    3110,     7102,   434176,        0,   714945,     7606,        2
    3130,     7155,   434176,        0,   714944,     7665,  4194303
    3150,     7208,   434176,        0,   714944,     7719,        1
    3170,     7261,   434176,        0,   714944,     7780,  4194302
    3190,     7314,   434176,        0,   714940,     7835,        0
    3210,     7367,   434176,        0,   714940,     7889,        2
    3230,     7420,   434176,        0,   714940,     7948,        0
    3250,     7473,   434176,        0,   714939,     8004,        1
    3270,     7526,   434176,        0,   714939,     8063,  4194302
    3290,     7579,   434176,        0,   714939,     8117,        1
    3310,     7632,   434176,        0,   714938,     8174,        2
    3330,     7685,   434176,        0,   714938,     8232,  4194303
    3350,     7738,   434176,        0,   714937,     8287,        2
    3370,     7791,   434176,        0,   714936,     8348,  4194302
    3390,     7844,   434176,        0,   714936,     8401,        0
    3410,     7897,   434176,        0,   714935,     8461,  4194302
    3430,     7950,   434176,        0,   714935,     8514,        0
    3450,     8003,   434176,        0,   714933,     8571,        1
    3470,     8056,   434176,        0,   714932,     8631,  4194303
    3490,     8109,   434176,        0,   714932,     8684,        1
    3510,     8162,   434176,        0,   714931,     8740,        2
    3530,     8215,   434176,        0,   714930,     8799,        0
    3550,     8268,   434176,        0,   714930,     8853,        2
    3570,     8321,   434176,        0,   714929,     8915,  4194302
    3590,     8374,   434176,        0,   714928,     8969,        1
    3610,     8427,   434176,        0,   714928,     9028,  4194302
    3630,     8480,   434176,        0,   714927,     9082,        0
    3650,     8533,   434176,        0,   714926,     9138,        2
    3670,     8586,   434176,        0,   714926,     9197,  4194303
    3690,     8639,   434176,        0,   714924,     9252,        1
    3710,     8692,   434176,        0,   714923,     9313,  4194302
    3730,     8745,   434176,        0,   714923,     9366,        0
    3750,     8798,   434176,        0,   714922,     9421,        2
    3770,     8851,   434176,        0,   714921,     9482,  4194303
    3790,     8904,   434176,        0,   714921,     9535,        1
    3810,     8957,   434176,        0,   714920,     9596,  4194302
    3830,     9010,   434176,        0,   714920,     9649,        0
    3850,     9063,   434176,        0,   714919,     9705,        2
    3870,     9116,   434176,        0,   714918,     9765,  4194303
    3890,     9169,   434176,        0,   714918,     9818,        1
    3910,     9222,   434176,        0,   714917,     9879,  4194302
    3930,     9275,   434176,        0,   714915,     9934,        0
    3950,     9328,   434176,        0,   714915,     9988,        2
    3970,     9381,   434176,        0,   714914,    10049,  4194303
    3990,     9434,   434176,        0,   714913,    10103,        1
    4010,     9487,   434176,        0,   714913,    10162,  4194302
    4030,     9540,   434176,        0,   714912,    10216,        1
    4050,     9593,   434176,        0,   714910,    10273,        2
    4070,     9646,   434176,        0,   714910,    10332,  4194303
    4090,     9699,   434176,        0,   714909,    10386,        2
    4110,     9752,   434176,        0,   714908,    10447,  4194302
    4130,     9805,   434176,        0,   714908,    10500,        0
    4150,     9858,   434176,        0,   714907,    10560,  4194302
    4170,     9911,   434176,        0,   714903,    10617,        1
    4190,     9964,   434176,        0,   714903,    10676,  4194302
    4210,    10017,   434176,        0,   714902,    10730,        1
    4230,    10070,   434176,        0,   714901,    10786,        2
    4250,    10123,   434176,        0,   714901,    10845,  4194303
    4270,    10176,   434176,        0,   714900,    10899,        2
    4290,    10229,   434176,        0,   714898,    10961,  4194302
    4310,    10282,   434176,        0,   714898,    11014,        0
    4330,    10335,   434176,        0,   714897,    11074,  4194302
    4350,    10388,   434176,        0,   714896,    11130,  4194303
    4370,    10441,   434176,        0,   714896,    11183,        1
    4390,    10494,   434176,        0,   714895,    11243,  4194303
    4410,    10547,   434176,        0,   714895,    11296,        1
    4430,    10600,   434176,        0,   714892,    11353,        2
    4450,    10653,   434176,        0,   714891,    11413,        0
    4470,    10706,   434176,        0,   714891,    11466,        2
    4490,    10759,   434176,        0,   714890,    11527,  4194302
    4510,    10812,   434176,        0,   714889,    11581,        1
    4530,    10865,   434176,        0,   714889,    11640,  4194302
    4550,    10918,   434176,        0,   714887,    11697,  4194303
    4570,    10971,   434176,        0,   714886,    11751,        2
    4590,    11024,   434176,        0,   714886,    11810,  4194303
    4610,    11077,   434176,        0,   714885,    11864,        1
    4630,    11130,   434176,        0,   714884,    11925,  4194302
    4650,    11183,   434176,        0,   714884,    11979,        0
    4670,    11236,   434176,        0,   714881,    12034,        2
    4690,    11289,   434176,        0,   714880,    12095,  4194303
    4710,    11342,   434176,        0,   714880,    12148,        1
    4730,    11395,   434176,        0,   714879,    12208,  4194302
    4750,    11448,   434176,        0,   714878,    12264,        0
    4770,    11501,   434176,        0,   714878,    12317,        2
    4790,    11554,   434176,        0,   714876,    12378,  4194303
    4810,    11607,   434176,        0,   714876,    12431,        1
    4830,    11660,   434176,        0,   714875,    12492,  4194302
    4850,    11713,   434176,        0,   714873,    12547,        0
    4870,    11766,   434176,        0,   714873,    12600,        2
    4890,    11819,   434176,        0,   714872,    12661,  4194303
    4910,    11872,   434176,        0,   714870,    12716,        1
    4930,    11925,   434176,        0,   714870,    12775,  4194302
    4950,    11978,   434176,        0,   714869,    12831,        0
    4970,    12031,   434176,        0,   714867,    12885,        2
    4990,    12084,   434176,        0,   714867,    12944,  4194303
    5010,    12137,   434176,        0,   714866,    12998,        2
    5030,    12190,   434176,        0,   714864,    13060,  4194302
    5050,    12243,   434176,        0,   714864,    13114,        0
    5070,    12296,   434176,        0,   714863,    13173,  4194302
    5090,    12349,   434176,        0,   714861,    13229,  4194303
    5110,    12402,   434176,        0,   714861,    13282,        1
    5130,    12455,   434176,        0,   714860,    13342,  4194303
    5150,    12508,   434176,        0,   714856,    13399,        0
    5170,    12561,   434176,        0,   714856,    13452,        2
    5190,    12614,   434176,        0,   714855,    13512,        0
    5210,    12667,   434176,        0,   714855,    13565,        2
    5230,    12720,   434176,        0,   714853,    13626,  4194302
    5250,    12773,   434176,        0,   714852,    13681,        1
    5270,    12826,   434176,        0,   714852,    13739,  4194302
    5290,    12879,   434176,        0,   714850,    13796,  4194303
    5310,    12932,   434176,        0,   714849,    13850,        2
    5330,    12985,   434176,        0,   714849,    13909,  4194303
    5350,    13038,   434176,        0,   714847,    13965,        0
    5370,    13091,   434176,        0,   714846,    14024,  4194302
    5390,    13144,   434176,        0,   714846,    14078,        0
    5410,    13197,   434176,        0,   714843,    14133,        2
    5430,    13250,   434176,        0,   714842,    14194,  4194303
    5450,    13303,   434176,        0,   714842,    14248,        1
    5470,    13356,   434176,        0,   714840,    14307,  4194302
    5490,    13409,   434176,        0,   714839,    14363,        0
    5510,    13462,   434176,        0,   714839,    14416,        2
    5530,    13515,   434176,        0,   714836,    14477,  4194303
    5550,    13568,   434176,        0,   714835,    14533,        1
    5570,    13621,   434176,        0,   714835,    14591,  4194302
    5590,    13674,   434176,        0,   714833,    14646,        0
    5610,    13727,   434176,        0,   714833,    14699,        2
    5630,    13780,   434176,        0,   714832,    14760,  4194303
    5650,    13833,   434176,        0,   714829,    14816,        1
    5670,    13886,   434176,        0,   714829,    14874,  4194302
    5690,    13939,   434176,        0,   714828,    14930,        0
    5710,    13992,   434176,        0,   714826,    14984,        2
    5730,    14045,   434176,        0,   714826,    15043,  4194303
    5750,    14098,   434176,        0,   714825,    15099,        1
    5770,    14151,   434176,        0,   714822,    15159,  4194302
    5790,    14204,   434176,        0,   714822,    15213,        0
    5810,    14257,   434176,        0,   714821,    15267,        3
    5830,    14310,   434176,        0,   714819,    15328,  4194303
    5850,    14363,   434176,        0,   714819,    15382,        1
    5870,    14416,   434176,        0,   714818,    15441,  4194303
    5890,    14469,   434176,        0,   714814,    15498,        0
    5910,    14522,   434176,        0,   714814,    15551,        2
    5930,    14575,   434176,        0,   714813,    15611,        0
    5950,    14628,   434176,        0,   714811,    15667,        1
    5970,    14681,   434176,        0,   714811,    15725,  4194302
    5990,    14734,   434176,        0,   714810,    15780,        1
    6010,    14787,   434176,        0,   714810,    15833,        3
    6030,    14840,   434176,        0,   714807,    15895,  4194303
    6050,    14893,   434176,        0,   714806,    15950,        2
    6070,    14946,   434176,        0,   714806,    16008,  4194303
    6090,    14999,   434176,        0,   714804,    16064,        0
    6110,    15052,   434176,        0,   714803,    16124,  4194302
    6130,    15105,   434176,        0,   714803,    16177,        0
    6150,    15158,   434176,        0,   714798,    16234,        2
    6170,    15211,   434176,        0,   714797,    16293,        0
    6190,    15264,   434176,        0,   714797,    16347,        2
    6210,    15317,   434176,        0,   714795,    16408,  4194302
    6230,    15370,   434176,        0,   714794,    16462,        1
    6250,    15423,   434176,        0,   714793,    16521,  4194302
    6270,    15476,   434176,        0,   714792,    16576,        0
    6290,    15529,   434176,        0,   714790,    16632,        2
    6310,    15582,   434176,        0,   714789,    16691,  4194303
    6330,    15635,   434176,        0,   714788,    16745,        1
    6350,    15688,   434176,        0,   714786,    16806,  4194302
    6370,    15741,   434176,        0,   714785,    16859,        0
    6390,    15794,   434176,        0,   714784,    16915,        2
    6410,    15847,   434176,        0,   714782,    16976,  4194303
    6430,    15900,   434176,        0,   714781,    17029,        1
    6450,    15953,   434176,        0,   714780,    17089,  4194302
    6470,    16006,   434176,        0,   714779,    17142,        0
    6490,    16059,   434176,        0,   714777,    17198,        2
    6510,    16112,   434176,        0,   714776,    17259,  4194303
